match_id,time_stamp,title,tour,round,surface,winner,player1_H2H,prediction_roi,player1_odds,player1_latest_win,player2_H2H,player2_odds,player2_latest_win,player1_name,player1_country,player1_height,player1_weight,player1_age,player1_current_rank,player1_highest_rank,player1_year_total_win,player1_year_total_lose,player1_year_surface_win,player1_year_surface_lose,player1_career_total_win,player1_career_total_lose,player1_career_surface_win,player1_career_surface_lose,player1_roi,player1_elo,player2_name,player2_country,player2_height,player2_weight,player2_age,player2_current_rank,player2_highest_rank,player2_year_total_win,player2_year_total_lose,player2_year_surface_win,player2_year_surface_lose,player2_career_total_win,player2_career_total_lose,player2_career_surface_win,player2_career_surface_lose,player2_roi,player2_elo,predict,strong_predict
2259415,2023-01-01-20-55,United Cup,atp,-,hard,1,0,-1,1.37,8,0,3.34,7,Borna Gojo,Croatia,196,90,24,144,144,40,28,19,9,186,134,94,56,0.0,1629,Federico Coria,Argentina,180,73,30,75,52,0,1,0,1,569,356,10,25,0.0,1601,2,False
2260117,2023-01-02-08-00,Canberra ITF,wta,Qualification - round of 16,hard,2,0,-1,1.71,3,0,1.97,8,Sara Bejlek,Czech Republic,-,-,16,181,174,1,0,1,0,62,35,8,5,1.35,1594,Mai Hontama,Japan,-,-,23,203,126,1,0,1,0,182,116,155,94,1.34,1522,1,False
2260121,2023-01-02-08-00,Canberra ITF,wta,Qualification - round of 16,hard,1,2,-1,1.65,4,0,2.07,7,Oksana Selekhmeteva,Russia,-,-,19,189,138,1,0,1,0,119,61,41,16,1.02,1513,Alexandra Eala,Philippines,-,-,17,214,214,1,0,1,0,68,37,42,21,1.7,1541,2,False
2260497,2023-01-02-08-10,Canberra challenger,atp,Qualification - round of 16,hard,1,1,1.62,2.62,5,1,1.43,5,Mitchell Krueger,USA,188,82,28,214,135,2,0,2,0,381,327,241,196,3.22,1504,Sebastian Ofner,Austria,191,81,26,193,126,1,1,1,1,317,231,100,59,0.44,1598,1,False
2260495,2023-01-02-08-10,Canberra challenger,atp,Qualification - round of 16,hard,1,0,1.05,2.05,4,0,1.69,6,Francesco Maestrelli,Italy,-,-,20,200,178,2,0,2,0,87,57,18,11,2.89,1468,Gabriel Diallo,Canada,-,-,21,227,224,1,1,1,1,46,23,33,14,0.79,1557,1,False
2260123,2023-01-02-10-15,Canberra ITF,wta,Qualification - round of 16,hard,1,0,0.1,1.1,5,0,5.87,7,Anastasia Zakharova,Russia,-,-,20,172,156,1,0,1,0,168,79,65,25,1.68,1460,Kaylah Mcphee,Australia,-,-,24,579,199,1,0,1,0,138,121,112,101,2.78,1307,1,False
2260259,2023-01-02-10-30,Canberra ITF,wta,Qualification - round of 16,hard,1,0,0.43,1.43,7,0,2.54,3,Yuriko Miyazaki,Great Britain,-,-,27,187,187,1,0,1,0,213,128,118,66,2.69,1528,Seone Mendez,Australia,-,-,23,377,198,1,0,1,0,231,152,39,51,2.16,1352,1,False
2260175,2023-01-02-11-05,Auckland,wta,1. round,hard,1,0,-1,1.47,6,0,2.87,3,Rebecca Marino,Canada,183,64,32,63,38,49,24,38,16,297,183,210,105,0.0,1710,Dalma Galfi,Hungary,178,68,24,83,79,37,26,15,8,269,180,113,56,0.0,1583,2,False
2260173,2023-01-02-11-05,Auckland,wta,1. round,hard,1,1,-1,2.47,5,1,1.6,7,Lin Zhu,China,173,64,28,84,58,41,26,34,15,387,255,330,190,0.0,1638,Madison Brengle,USA,174,60,32,57,35,38,26,30,14,570,418,355,228,0.0,1718,2,False
2260223,2023-01-02-10-25,Canberra ITF,wta,Qualification - round of 16,hard,2,0,0.95,1.72,7,1,1.95,6,Arianne Hartono,Netherlands,-,-,26,238,156,1,0,1,0,169,119,69,44,1.78,1446,Suzan Lamens,Netherlands,-,-,23,200,161,1,0,1,0,224,158,59,46,1.88,1374,2,False
2260505,2023-01-02-10-55,Canberra challenger,atp,Qualification - round of 16,hard,1,0,-1,1.44,6,0,2.57,8,Emilio Nava,USA,183,74,21,178,172,1,0,1,0,115,73,50,43,1.02,1531,Oleksii Krutykh,Ukraine,-,-,22,185,185,1,0,1,0,174,106,31,21,1.8,1480,2,False
2260503,2023-01-02-10-55,Canberra challenger,atp,Qualification - round of 16,hard,1,0,0.83,1.83,7,0,1.85,5,Alexandre Muller,France,183,75,25,160,142,1,0,1,0,371,238,115,59,2.18,1508,Antoine Bellier,Switzerland,196,80,26,183,177,1,0,1,0,283,222,138,89,1.49,1454,1,False
2260433,2023-01-02-11-15,Canberra challenger,atp,1. round,hard,1,0,-1,3.16,5,0,1.37,5,Dane Sweeny,Australia,170,63,21,249,236,68,26,65,22,171,102,155,79,0.0,1358,Pavel Kotov,Russia,191,86,24,117,96,37,20,5,3,216,131,36,20,0.0,1655,2,False
2259497,2023-01-02-11-35,United Cup,wta,-,hard,1,0,0.38,1.38,5,0,3.27,5,Madison Keys,USA,178,66,27,11,7,1,0,1,0,339,193,210,119,1.86,1882,Jule Niemeier,Germany,-,-,23,65,61,0,1,0,1,178,98,16,17,0.0,1730,1,False
2260501,2023-01-02-11-35,Canberra challenger,atp,Qualification - round of 16,hard,1,0,0.39,1.39,7,0,2.74,5,Liam Broady,Great Britain,183,78,28,163,116,1,0,1,0,477,334,224,135,1.57,1632,Andrea Pellegrino,Italy,185,81,25,181,136,1,0,1,0,254,224,15,21,1.14,1470,1,False
2260257,2023-01-02-12-10,Canberra ITF,wta,Qualification - round of 16,hard,2,0,0.84,1.81,7,0,1.84,5,Robin Anderson,USA,-,-,29,194,137,1,0,1,0,245,168,154,94,1.64,1510,Darya Astakhova,Russia,-,-,20,204,198,1,0,1,0,163,84,34,22,1.72,1451,2,False
2260261,2023-01-02-12-10,United Cup,wta,-,hard,1,0,-1,1.34,3,0,3.52,6,Martina Trevisan,Italy,-,-,29,27,24,0,1,0,1,299,176,39,41,0.0,1677,Malene Helgo,Norway,-,-,23,319,319,0,1,0,1,174,110,18,21,0.0,1437,2,False
2259791,2023-01-02-12-25,Adelaide,wta,1. round,hard,2,0,-1,2.66,5,1,1.53,7,Amanda Anisimova,USA,180,59,21,23,21,33,14,14,8,147,80,86,50,0.0,1819,Veronika Kudermetova,Russia,175,63,25,9,9,39,20,25,12,310,204,156,98,0.0,1901,1,True
