match_id,time_stamp,title,tour,round,surface,player1_H2H,player1_odds,player1_latest_win,player2_H2H,player2_odds,player2_latest_win,player1_name,player1_country,player1_height,player1_weight,player1_age,player1_current_rank,player1_highest_rank,player1_year_total_win,player1_year_total_lose,player1_year_surface_win,player1_year_surface_lose,player1_career_total_win,player1_career_total_lose,player1_career_surface_win,player1_career_surface_lose,player1_roi,player1_elo,player2_name,player2_country,player2_height,player2_weight,player2_age,player2_current_rank,player2_highest_rank,player2_year_total_win,player2_year_total_lose,player2_year_surface_win,player2_year_surface_lose,player2_career_total_win,player2_career_total_lose,player2_career_surface_win,player2_career_surface_lose,player2_roi,player2_elo,predict,strong_predict
2265105,2023-01-12-00-00,Naples 4 ITF,wta,1. round,clay,0,1.71,4,0,2.04,5,Whitney Osuigwe,USA,-,-,20,291,105,25,25,12,9,119,111,59,38,0,1358,Hanna Chang,USA,-,-,24,327,214,2,1,0,0,285,180,72,42,0.85,1229,2,False
2265327,2023-01-12-03-30,Tigre 2 challenger,atp,round of 16,clay,0,3.51,4,0,1.30,5,Pedro Boscardin Dias,Brazil,180,73,19,348,293,1,1,1,1,52,49,48,41,1.83,1315,Alessandro Giannessi,Italy,185,82,32,247,84,4,1,4,1,492,401,402,309,2.98,1455,2,False
2265115,2023-01-12-04-00,Naples 4 ITF,wta,1. round,clay,0,2.70,5,0,1.43,7,Lulu Sun,Switzerland,-,-,21,296,247,2,1,0,0,166,98,30,28,0.51,1346,Peyton Stearns,USA,-,-,21,209,208,33,15,1,2,89,60,19,17,0,1412,1,False
2265597,2023-01-12-08-00,Auckland,atp,quarterfinal,hard,1,3.47,5,1,1.35,7,Marcos Giron,USA,180,77,29,60,49,3,1,3,1,380,239,283,159,2.33,1761,Cameron Norrie,Great Britain,188,82,27,12,8,4,0,4,0,333,188,211,89,5.44,1906,2,False
2265501,2023-01-12-08-00,Australian Open,wta,Qualification - 3. round,hard,0,1.92,6,0,1.90,7,Victoria Jimenez Kasintseva,Andorra,-,-,17,184,121,2,0,2,0,70,49,27,15,2.72,1513,Eva Lys,Germany,-,-,21,127,123,4,1,4,1,110,63,16,8,1.52,1741,1,False
2265491,2023-01-12-08-00,Australian Open,wta,Qualification - 3. round,hard,0,1.73,5,0,2.13,7,Cristina Bucsa,Spain,180,63,25,102,102,2,1,2,1,285,172,89,44,0.78,1658,Nao Hibino,Japan,163,57,28,139,56,4,1,4,1,319,254,234,169,3.23,1595,2,False
2265515,2023-01-12-08-00,Australian Open,atp,Qualification - 3. round,hard,0,1.95,7,0,1.87,5,Adrian Andreev,Bulgaria,180,66,21,191,189,2,0,2,0,157,93,54,26,3.14,1567,Zizou Bergs,Belgium,185,83,23,131,128,2,2,2,2,234,137,63,33,-0.02,1578,1,False
2265499,2023-01-12-08-00,Australian Open,atp,Qualification - 3. round,hard,0,1.93,7,0,1.89,5,Max Purcell,Australia,185,75,24,204,156,4,1,4,1,231,170,172,122,2.53,1545,Matteo Arnaldi,Italy,-,-,21,134,131,3,1,3,1,144,87,39,15,1.67,1572,1,False
2265497,2023-01-12-08-00,Australian Open,atp,Qualification - 3. round,hard,0,2.03,5,0,1.80,6,Brandon Holt,USA,185,82,24,216,211,2,1,2,1,136,68,114,55,1.64,1491,Marco Trungelliti,Argentina,178,78,32,224,112,2,1,2,1,529,356,74,57,2.68,1569,2,False
2265511,2023-01-12-09-30,Adelaide 2,atp,quarterfinal,hard,0,1.88,5,2,2.02,6,Jack Draper,Great Britain,191,80,21,40,40,3,1,3,1,167,74,77,27,1.9,1824,Karen Khachanov,Russia,198,87,26,20,8,3,1,3,1,362,249,139,88,1.77,1884,2,True
2265651,2023-01-12-09-30,Auckland,atp,quarterfinal,hard,0,2.26,7,0,1.71,5,Quentin Halys,France,191,78,26,64,64,3,1,3,1,354,270,113,80,2.22,1706,Jenson Brooksby,USA,188,82,22,48,33,2,0,2,0,154,82,99,53,1.92,1767,1,False
2265541,2023-01-12-09-30,Australian Open,wta,Qualification - 3. round,hard,0,2.30,6,1,1.63,6,Laura Pigossi,Brazil,-,-,28,113,100,2,1,2,1,349,285,117,99,2.93,1459,Arianne Hartono,Netherlands,-,-,26,237,156,3,2,3,2,171,121,71,46,1.94,1446,1,False
2265517,2023-01-12-09-30,Australian Open,wta,Qualification - 3. round,hard,0,3.67,5,0,1.29,6,Sophie Chang,USA,-,-,25,217,217,2,0,2,0,259,220,111,105,6.23,1384,Oksana Selekhmeteva,Russia,-,-,19,179,138,5,1,5,1,123,62,45,17,3.06,1513,1,False
2265535,2023-01-12-09-30,Australian Open,atp,Qualification - 3. round,hard,0,1.46,6,0,2.77,8,Denis Kudla,USA,180,79,30,102,53,2,0,2,0,488,364,227,182,1.91,1621,Oleksii Krutykh,Ukraine,-,-,22,188,185,3,1,3,1,176,107,33,22,2.31,1480,2,False
2265533,2023-01-12-09-30,Australian Open,atp,Qualification - 3. round,hard,0,1.71,6,1,2.16,7,Sebastian Ofner,Austria,191,81,26,193,126,3,1,3,1,319,231,102,59,2.4,1598,Laurent Lokoli,France,188,78,28,176,176,5,1,5,1,382,219,135,66,4.81,1432,2,False
2265525,2023-01-12-09-30,Australian Open,atp,Qualification - 3. round,hard,0,1.26,5,0,3.91,5,Pavel Kotov,Russia,191,86,24,118,96,2,1,2,1,218,132,38,21,0.81,1655,Ernesto Escobedo,USA,185,82,26,310,67,2,1,2,1,289,229,220,152,2.77,1449,2,False
2265523,2023-01-12-09-30,Australian Open,atp,Qualification - 3. round,hard,0,1.41,6,1,2.93,6,Mattia Bellucci,Italy,-,-,21,153,153,3,1,3,1,154,68,83,26,1.67,1637,Luciano Darderi,Italy,-,-,20,205,168,2,0,2,0,101,57,22,7,3.28,1429,2,False
2265513,2023-01-12-09-30,Australian Open,atp,Qualification - 3. round,hard,0,1.31,9,0,3.51,5,Leandro Riedi,Switzerland,-,-,20,135,135,6,1,6,1,89,45,24,8,4.12,1714,Dalibor Svrcina,Czech Republic,178,68,20,219,167,2,1,2,1,110,73,27,20,2.0,1443,1,False
2265505,2023-01-12-10-00,Hobart,wta,quarterfinal,hard,2,2.04,6,0,1.86,7,Bernarda Pera,USA,175,80,28,44,42,2,1,2,1,392,224,94,86,1.42,1737,Elisabetta Cocciaretto,Italy,-,-,21,67,64,2,1,2,1,143,75,32,20,2.01,1732,2,False
2265653,2023-01-12-11-00,Auckland,atp,quarterfinal,hard,3,2.32,6,3,1.68,4,Richard Gasquet,France,183,79,36,67,7,2,1,2,1,757,424,269,163,0.45,1763,David Goffin,Belgium,180,70,32,53,7,2,2,2,2,601,337,218,131,0.69,1751,1,True
2265643,2023-01-12-11-00,Australian Open,wta,Qualification - 3. round,hard,0,1.66,7,0,2.25,5,Katie Volynets,USA,-,-,21,115,109,3,1,3,1,134,93,74,53,2.95,1512,Kristina Mladenovic,France,184,60,29,152,10,2,0,2,0,422,373,159,179,3.31,1573,2,False
2265641,2023-01-12-11-00,Australian Open,wta,Qualification - 3. round,hard,0,2.50,8,1,1.54,6,Jessica Bouzas Maneiro,Spain,-,-,20,183,183,3,0,3,0,141,61,49,20,3.83,1312,Brenda Fruhvirtova,Czech Republic,-,-,15,135,128,2,1,2,1,68,24,8,5,0.94,1422,1,False
2265639,2023-01-12-11-00,Australian Open,wta,Qualification - 3. round,hard,0,1.76,5,0,2.09,8,Olga Danilovic,Serbia,-,-,21,153,96,2,1,2,1,147,87,36,28,0.5,1568,Clara Burel,France,-,-,21,131,74,2,0,2,0,120,86,27,21,1.94,1595,2,False
2265539,2023-01-12-11-00,Australian Open,wta,Qualification - 3. round,hard,0,1.73,6,0,2.13,6,Sachia Vickery,USA,163,58,27,204,73,2,0,2,0,356,271,235,165,3.09,1532,Lucrezia Stefanini,Italy,-,-,24,141,140,2,1,2,1,258,197,66,40,5.12,1549,2,False
2265509,2023-01-12-11-00,Australian Open,wta,Qualification - 3. round,hard,0,3.45,8,0,1.32,5,Yuriko Miyazaki,Great Britain,-,-,27,178,178,5,1,5,1,217,129,122,67,6.88,1528,Coco Vandeweghe,USA,185,70,31,140,9,2,1,2,1,351,294,220,198,1.45,1655,1,False
2265659,2023-01-12-11-00,Australian Open,atp,Qualification - 3. round,hard,0,2.67,5,0,1.49,6,Peter Gojowczyk,Germany,188,83,33,232,39,2,0,2,0,609,466,194,142,1.86,1585,Yannick Hanfmann,Germany,193,86,31,128,92,2,1,2,1,374,223,57,45,1.81,1616,1,False
2265657,2023-01-12-11-00,Australian Open,atp,Qualification - 3. round,hard,0,1.58,7,0,2.40,8,Dominic Stricker,Switzerland,-,-,20,119,111,2,0,2,0,77,55,4,6,1.57,1667,Enzo Couacaud,France,183,78,27,190,155,6,1,6,1,315,199,183,74,2.91,1537,2,False
2265601,2023-01-12-11-00,Australian Open,atp,Qualification - 3. round,hard,1,1.74,7,0,2.11,6,Michael Mmoh,USA,188,90,25,109,96,3,1,3,1,263,180,156,102,0.51,1615,Aleksandar Vukic,Australia,188,84,26,129,117,2,1,2,1,248,186,118,96,0.92,1572,2,False
2265531,2023-01-12-11-30,Hobart,wta,quarterfinal,hard,2,1.85,9,2,2.05,6,Anhelina Kalinina,Ukraine,179,70,25,40,34,4,1,4,1,331,169,81,61,1.15,1806,Sofia Kenin,USA,170,57,24,280,4,3,1,3,1,259,156,157,87,2.01,1635,1,True
2265689,2023-01-12-12-30,Australian Open,atp,Qualification - 3. round,hard,0,2.02,5,0,1.81,5,Juncheng Shang,China,-,-,17,194,184,2,1,2,1,61,36,25,12,2.01,1486,Zsombor Piros,Hungary,180,68,23,171,138,3,1,3,1,200,116,40,29,1.39,1606,1,False
2265677,2023-01-12-12-30,Australian Open,wta,Qualification - 3. round,hard,0,2.08,4,0,1.76,5,Sara Bejlek,Czech Republic,-,-,16,175,174,3,1,3,1,64,36,10,6,3.46,1594,Erika Andreeva,Russia,-,-,18,137,118,2,1,2,1,106,45,23,9,0.95,1561,1,False
2265649,2023-01-12-12-30,Australian Open,wta,Qualification - 3. round,hard,0,2.09,4,0,1.76,8,Asia Muhammad,USA,178,66,31,165,124,2,0,2,0,349,283,262,184,3.23,1426,Polina Kudermetova,Russia,-,-,19,182,180,2,0,2,0,96,40,42,19,5.08,1418,2,False
