timestamp,player,enemy,roi_home,roi_enemy,odds,stake,match_roi
2009-01-23,Dokic J.,Wozniacki C.,1.58,0.05,4.2,0.00,0.000
2009-01-24,Andreev I.,Blake J.,1.24,0.06,2.68,0.00,-0.00
2009-01-25,Suarez Navarro C.,Medina Garrigues A.,14.76,2.24,1.83,0.00,0.0000
2009-01-25,Dokic J.,Kleybanova A.,4.78,3.48,1.57,0.00,0.0000
2009-01-27,Suarez Navarro C.,Dementieva E.,15.59,0.49,4.56,0.00,-0.00
2009-01-27,Bartoli M.,Zvonareva V.,4.27,0.64,3.2,0.00,-0.00
2009-01-27,Verdasco F.,Tsonga J-W.,6.09,0.84,2.37,0.00,0.0000
2009-01-27,Dokic J.,Safina D.,5.35,0.26,3.97,0.00,-0.00
2009-01-29,Verdasco F.,Nadal R.,7.46,0.25,5.94,0.00,-0.00
2009-02-14,Zheng J.,Rodionova An.,1.01,0,1.16,0.00,0.0000 
2009-02-15,Bartoli M.,Sugiyama A.,3.27,-1,1.26,0.00,0.0000
2009-02-15,Medina Garrigues A.,Klepac A.,1.24,0,1.16,0.00,0.0000
2009-02-15,Kleybanova A.,Ivanovic A.,2.48,-1,2.81,3.48,-3.48
2009-02-16,Zheng J.,Stosur S.,1.17,-0.22,1.64,0.00,0.0000
2009-02-16,Medina Garrigues A.,Bondarenko A.,1.24,-0.58,1.71,0.00,0.0000
2009-02-16,Bartoli M.,Schiavone F.,3.27,0,2.31,0.00,0.0000
2009-02-16,Pavlyuchenkova A.,Williams V.,0.64,-1,7.35,0.00,-0.00
2009-02-16,Williams S.,Errani S.,1.87,-1,1.08,0.00,0.0000
2009-02-17,Razzano V.,Hantuchova D.,0.75,-0.91,2.02,0.00,0.0000
2009-02-17,Pin C.,Ivanovic A.,0.93,-0.58,7.26,0.00,-0.00
2009-02-17,Medina Garrigues A.,Dementieva E.,1.40,-0.30,5.77,0.00,-0.00
2009-02-18,Vesnina E.,Kanepi K.,6.63,-0.43,2.18,0.00,-0.00
2009-02-18,Razzano V.,Zvonareva V.,5.98,0.11,4.19,0.00,0.0000
2009-02-18,Williams S.,Ivanovic A.,1.95,-0.58,1.23,0.00,0.0000
2009-02-19,Razzano V.,Kanepi K.,7.00,4.09,2.09,0.00,0.0000
2009-02-19,Williams S.,Williams V.,2.09,-0.80,2.01,0.00,-0.00
2009-02-20,Razzano V.,Williams V.,10.19,-0.29,6.2,0.00,-0.00
2009-03-14,Medina Garrigues A.,Craybas J.,1.11,0,1.31,0.00,-0.00
2009-03-14,Radwanska U.,Kuznetsova S.,5.6,-1.65,6.09,0.00,0.0000
2009-03-14,Cetkovska P.,Dementieva E.,0,-1.06,10.31,0.00,0.0000
2009-03-14,Zheng J.,Dushevina V.,0.81,-0.66,1.31,0.00,-0.00
